date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
30/03/2022,363.7233333,371.3166667,361.3333333,364.6633333,59864998,1093.99,-0.51,76552520.9
31/03/2022,364.8566667,367.7133333,358.8803333,359.2,48992759,1077.6,-1.5,75920983.45
01/04/2022,360.3833333,364.9166667,355.5466667,361.53,54263218,1084.59,0.65,75275151.4
04/04/2022,363.1266667,383.3033333,357.51,381.8166667,82177702,1145.45,5.61,75759328.45
05/04/2022,378.7666667,384.29,362.4333333,363.7533333,80075008,1091.26,-4.73,75743124.1
06/04/2022,357.8233333,359.6666667,342.5666667,348.5866667,89348541,1045.76,-4.17,77251352.75
07/04/2022,350.7966667,358.8633333,340.5133333,352.42,79447048,1057.26,1.1,78291272.6
08/04/2022,347.7366667,349.48,340.8116667,341.83,55013698,1025.49,-3,77690099.45
11/04/2022,326.8,336.156,324.88,325.31,59357218,975.93,-4.83,77100347.45
12/04/2022,332.5467,340.3973333,325.5334,328.9833333,65976085,986.95,1.13,77057094.65
13/04/2022,327.0250333,342.08,324.3656667,340.79,55121218,1022.37,3.59,75611714.6
14/04/2022,333.0966667,337.57,327.3966667,328.3333333,58422421,985,-3.66,75203687.75
18/04/2022,329.6767,338.3066667,324.47,334.7633333,51715229,1004.29,1.96,72768739.65
19/04/2022,335.02,344.98,331.7750333,342.7166667,49847816,1028.15,2.38,71162047.4
20/04/2022,343.3333333,344.6666667,325.0833667,325.7333333,70711315,977.2,-4.96,69404185.3
21/04/2022,358.2433333,364.0733333,332.1383333,336.26,105416340,1008.78,3.23,68641195.6
22/04/2022,338.3033333,344.95,331.3333667,335.0166667,69696565,1005.05,-0.37,68679979.3
25/04/2022,326.3233333,336.2066667,325.1,332.6733333,68341339,998.02,-0.7,68995469.35
26/04/2022,331.81,333.3333333,291.6667,292.14,136133657,876.42,-12.18,70676849.15
27/04/2022,299.5266667,306,292.4533333,293.8366667,76956385,881.51,0.58,70843928
28/04/2022,299.9933333,300,273.9000333,292.5033667,124948532,877.5101,-0.45,74098104.7
29/04/2022,300.75,311.4666333,290,290.2533667,88133007,870.7601,-0.77,76055117.1
02/05/2022,286.9233333,302.12,282.6767,300.98,75781381,902.94,3.7,77131025.25
03/05/2022,301.06,308.0266667,296.1966667,303.0833333,63709585,909.25,0.7,76207619.4
04/05/2022,301.3133667,318.5,295.0933333,317.54,81643702,952.62,4.77,76286054.1
05/05/2022,313.07,315.2,285.9000333,291.0933333,92519184,873.28,-8.33,76444586.25
06/05/2022,295.6667,296,281.035,288.55,72903115,865.65,-0.87,76117389.6
09/05/2022,278.8166667,281.8766667,260.3833667,262.37,90810207,787.11,-9.07,77907215.05
10/05/2022,273.1033333,275.12,258.0833333,266.68,84401641,800.04,1.64,79159436.2
11/05/2022,265,269.9233333,242.4,244.6666667,97224447,734,-8.25,80721854.3
12/05/2022,233.6666667,253.22,226.6666667,242.6666667,140312855,728,-0.82,84981436.15
13/05/2022,257.8266667,262.4499667,250.5216667,256.5300333,92150727,769.5901,5.71,86667851.45
16/05/2022,255.72,256.5866667,239.6961667,241.4566667,86098528,724.37,-5.88,88387016.4
17/05/2022,249.12,254.8266667,242.95,253.87,80236099,761.61,5.14,89906430.55
18/05/2022,248.1733333,253.5,233.6033333,236.6033333,87811797,709.81,-6.8,90761454.65
19/05/2022,235.6666667,244.6666667,231.37,236.4733333,90296664,709.42,-0.05,90005470.85
20/05/2022,237.9966667,240.5273333,211,221.3,144973319,663.9,-6.42,93769308.55
23/05/2022,218.34,226.6517,212.6866667,224.9666667,88903650,674.9,1.66,94797424.1
24/05/2022,217.8433333,217.9733333,206.8566667,209.3866667,89092527,628.16,-6.93,92445367.6
25/05/2022,207.95,223.1066667,207.6700333,219.6,92139324,658.8,4.88,93204514.55
26/05/2022,220.4733333,239.5566333,217.8866667,235.91,106003344,707.73,7.43,92257255.15
27/05/2022,241.0833333,253.2666667,240.1770333,253.21,89294967,759.63,7.33,92315353.15
31/05/2022,257.9466667,259.6,244.7433333,252.7533333,101914380,758.26,-0.18,93622003.1
01/06/2022,251.72,257.3266667,243.64,246.79,77247958,740.37,-2.36,94298921.75
02/06/2022,244.1566667,264.2100333,242.0666667,258.3333333,93473130,775,4.68,94890393.15
03/06/2022,243.225,247.7966333,233.4178,234.5166667,112393731,703.55,-9.22,95884120.5
06/06/2022,244.3533333,244.8666667,234.35,238.28,84204502,714.84,1.6,96449189.85
07/06/2022,234,239.9966667,230.0933333,238.8866667,72808579,716.66,0.25,95549108.45
08/06/2022,240.0866667,249.9633333,239.1766667,241.8666667,76210615,725.6,1.25,95139557.15
09/06/2022,249.34,255.5466333,239.3266667,239.7066667,96491301,719.12,-0.89,95102899.85
10/06/2022,235.1566667,239.5,227.9133333,232.23,98090904,696.69,-3.12,92991802.3
13/06/2022,223.1666667,226.6333333,214.6833333,215.7366667,102767259,647.21,-7.1,93522628.9
14/06/2022,218.2866667,226.33,211.7366667,220.89,97988781,662.67,2.39,94117141.55
15/06/2022,220.9166667,235.6633,218.15,233,119131941,699,5.48,96061933.65
16/06/2022,222.7366667,225.1666667,208.6933333,213.1,107390691,639.3,-8.54,97040878.35
17/06/2022,213.4333333,220.9694,213.1966667,216.76,92641767,650.28,1.72,97158133.5
21/06/2022,224.6033333,243.5773667,224.3333333,237.0366667,122792972,711.11,9.35,96049116.15
22/06/2022,234.5033333,246.8333333,233.8266667,236.0866667,101527263,708.26,-0.4,96680296.8
23/06/2022,237.905,239.3166667,228.6366667,235.07,104202687,705.21,-0.43,97435804.8
24/06/2022,237.4683333,246.0666667,236.0866667,245.7066667,95770701,737.12,4.52,97617373.65
27/06/2022,249.3666667,252.07,242.5655333,244.92,89178297,734.76,-0.32,96776121.3
28/06/2022,244.4833333,249.97,232.3433333,232.6633333,90666501,697.99,-5,96844698
29/06/2022,230.5,231.1733333,222.2733333,228.49,82897258,685.47,-1.79,95893841.9
30/06/2022,224.51,229.4566667,218.8633333,224.4733333,94600437,673.42,-1.76,96761465.85
01/07/2022,227,230.23,222.1200333,227.2633333,74460448,681.79,1.24,95810831.75
05/07/2022,223,233.1466667,216.1667,233.0666667,84779095,699.2,2.55,94430099.95
06/07/2022,230.78,234.5633333,227.1866667,231.7333333,71853619,695.2,-0.57,93812555.8
07/07/2022,233.92,245.3616667,232.21,244.5433333,81930688,733.63,5.53,94268661.25
08/07/2022,242.3333333,254.9799667,241.1614333,250.7633333,101854074,752.29,2.54,95550834.2
11/07/2022,252.1033333,253.0633333,233.6266667,234.3433333,99509211,703.03,-6.55,95701729.7
12/07/2022,236.8466667,239.7733333,228.3683333,233.07,87930957,699.21,-0.54,95193732.35
13/07/2022,225.5,242.0599667,225.0333333,237.04,97954497,711.12,1.7,94953094.25
14/07/2022,234.8966667,238.6533333,229.3333333,238.3133333,78557488,714.94,0.54,93981529.6
15/07/2022,240,243.6233,236.89,240.0666667,69683008,720.2,0.74,91509082.95
18/07/2022,244.9366667,250.5166667,239.6033333,240.5466667,82537438,721.64,0.2,90266420.3
19/07/2022,245,247.14,236.9766667,245.53,80890099,736.59,2.07,89678836.9
20/07/2022,246.7833333,250.6633333,243.483,247.5,88864074,742.5,0.8,87982392
21/07/2022,255.1066667,273.2666667,254.8666667,271.7066667,142032173,815.12,9.78,90007637.5
22/07/2022,276.22,280.7866667,270.7133333,272.2433333,103472856,816.73,0.2,89971145.95
25/07/2022,272.2166667,274.1466667,267.4000333,268.4333333,64073518,805.3,-1.4,88386286.8
26/07/2022,266.5133333,267.3099667,256.2633333,258.86,66820768,776.58,-3.57,87268410.35
27/07/2022,263.81,275.9256,261.7900333,274.82,88109997,824.46,6.17,87140585.15
28/07/2022,280.0666667,283.3,272.8,280.9000333,84722998,842.7001,2.21,87231872.15
29/07/2022,280.7,298.32,279.1,297.1500333,95312880,891.4501,5.78,87267494.3
01/08/2022,301.2750333,311.8782333,295,297.2766667,117042900,891.83,0.04,89396616.9
02/08/2022,294.0033667,307.8333333,292.6667,300.5866667,95577477,901.76,1.11,89936536
03/08/2022,305,309.55,301.1500333,307.3966667,80091115,922.19,2.27,90348410.8
04/08/2022,311,313.6067,305,308.6333667,72256315,925.9001,0.4,89864692.15
05/08/2022,302.67,304.6066333,285.5446667,288.17,113172900,864.51,-6.63,90430633.45
08/08/2022,295,305.2,289.0854,290.4233333,99365283,871.27,0.78,90423437.05
09/08/2022,290.2933333,292.3966667,279.3533333,283.3333333,86244688,850,-2.44,90339123.6
10/08/2022,297.0666667,297.51,283.37,294.3567,94918854,883.0701,3.89,90187341.45
11/08/2022,296.5133333,298.2367,285.8333333,286.63,70155058,859.89,-2.62,89767219.95
12/08/2022,289.415,300.16,285.0333333,300.0300333,79657288,900.0901,4.68,90265933.95
15/08/2022,301.7866667,313.1333667,301.23,309.32,89359170,927.96,3.1,90607020.55
16/08/2022,311.6667,314.6667,302.8833667,306.5633667,88136301,919.6901,-0.89,90969330.65
17/08/2022,303.3966667,309.6566667,300.0333333,303.9966667,68765968,911.99,-0.84,89964425.35
18/08/2022,306,306.5,301.8533333,302.87,47500529,908.61,-0.37,85237843.15
19/08/2022,299,300.36,292.5,296.6667,61395391,890.0001,-2.05,83133969.9
22/08/2022,291.9133333,292.4000333,286.2967,289.9133333,55843345,869.74,-2.28,82722461.25
23/08/2022,291.4533333,298.8266667,287.9233333,296.4533333,63985048,889.36,2.26,82580675.25
24/08/2022,297.5633667,303.6466667,296.5,297.0966667,57259708,891.29,0.22,81038160.8
25/08/2022,302.36,302.96,291.6,296.07,53230008,296.07,-0.35,79463511.3
26/08/2022,297.43,302,287.47,288.09,57163953,288.09,-2.7,77556064.95
29/08/2022,282.83,287.74,280.7,284.82,41864738,284.82,-1.14,73797156.85
30/08/2022,287.865,288.48,272.65,277.7,50541762,277.7,-2.5,71545371.1
31/08/2022,280.62,281.25,271.81,275.61,52107340,275.61,-0.75,70146182.35
01/09/2022,272.575,277.58,266.15,277.16,54287020,277.16,0.56,69247717.6
02/09/2022,281.065,282.35,269.08,270.21,50890090,270.21,-2.51,66133577.1
06/09/2022,272.675,275.99,265.74,274.42,55859980,274.42,1.56,63958311.95
07/09/2022,273.1,283.84,272.27,283.7,50028922,283.7,3.38,62147523.65
08/09/2022,281.3,289.5,279.76,289.26,53713121,289.26,1.96,60087237
09/09/2022,291.67,299.85,291.245,299.68,54470848,299.68,3.6,59303026.5
